#,Date-Time (CEST),Temperature   (°C),Light   (lux),Host Connected,Button Down,Button Up,End of File
375,05/04/2025 14:10:00,13.55,9520.64,,,,
376,05/04/2025 14:20:00,13.55,21708.80,,,,
377,05/04/2025 14:30:00,14.45,10204.16,,,,
378,05/04/2025 14:40:00,15.74,14801.92,,,,
379,05/04/2025 14:50:00,14.75,10552.32,,,,
380,05/04/2025 15:00:00,14.15,8821.76,,,,
381,05/04/2025 15:10:00,13.64,7987.20,,,,
382,05/04/2025 15:20:00,13.30,8739.84,,,,
383,05/04/2025 15:30:00,15.53,17751.04,,,,
384,05/04/2025 15:40:00,15.23,12835.84,,,,
385,05/04/2025 15:50:00,13.94,6458.88,,,,
386,05/04/2025 16:00:00,13.81,7900.16,,,,
387,05/04/2025 16:10:00,13.21,7142.40,,,,
388,05/04/2025 16:20:00,13.64,9687.04,,,,
389,05/04/2025 16:30:00,14.67,9600.00,,,,
390,05/04/2025 16:40:00,13.60,7618.56,,,,
391,05/04/2025 16:50:00,13.34,6361.60,,,,
392,05/04/2025 17:00:00,12.61,5002.24,,,,
393,05/04/2025 17:10:00,12.31,7267.84,,,,
394,05/04/2025 17:20:00,12.44,5568.00,,,,
395,05/04/2025 17:30:00,12.57,5200.64,,,,
396,05/04/2025 17:40:00,11.41,3778.56,,,,
397,05/04/2025 17:50:00,10.81,3530.24,,,,
398,05/04/2025 18:00:00,11.54,4460.80,,,,
399,05/04/2025 18:10:00,11.67,3283.20,,,,
400,05/04/2025 18:20:00,11.67,3799.04,,,,
401,05/04/2025 18:30:00,11.92,4047.36,,,,
402,05/04/2025 18:40:00,12.14,4725.76,,,,
403,05/04/2025 18:50:00,11.92,3383.04,,,,
404,05/04/2025 19:00:00,10.89,2442.24,,,,
405,05/04/2025 19:10:00,10.34,2398.72,,,,
406,05/04/2025 19:20:00,10.29,2324.48,,,,
407,05/04/2025 19:30:00,10.29,2616.96,,,,
408,05/04/2025 19:40:00,9.99,1875.84,,,,
409,05/04/2025 19:50:00,9.69,1590.40,,,,
410,05/04/2025 20:00:00,9.14,1351.68,,,,
411,05/04/2025 20:10:00,8.36,781.76,,,,
412,05/04/2025 20:20:00,7.68,550.08,,,,
413,05/04/2025 20:30:00,7.12,307.60,,,,
414,05/04/2025 20:40:00,6.86,109.08,,,,
415,05/04/2025 20:50:00,7.08,36.22,,,,
416,05/04/2025 21:00:00,7.25,6.08,,,,
417,05/04/2025 21:10:00,7.76,1.04,,,,
418,05/04/2025 21:20:00,7.68,0.20,,,,
419,05/04/2025 21:30:00,7.59,0.00,,,,
420,05/04/2025 21:40:00,7.38,0.00,,,,
421,05/04/2025 21:50:00,7.12,0.00,,,,
422,05/04/2025 22:00:00,7.03,0.00,,,,
423,05/04/2025 22:10:00,7.03,0.00,,,,
424,05/04/2025 22:20:00,6.99,0.00,,,,
425,05/04/2025 22:30:00,7.08,0.00,,,,
426,05/04/2025 22:40:00,7.20,0.00,,,,
427,05/04/2025 22:50:00,7.20,0.00,,,,
428,05/04/2025 23:00:00,7.20,0.00,,,,
429,05/04/2025 23:10:00,7.03,0.00,,,,
430,05/04/2025 23:20:00,6.99,0.00,,,,
431,05/04/2025 23:30:00,6.86,0.00,,,,
432,05/04/2025 23:40:00,6.90,0.00,,,,
433,05/04/2025 23:50:00,6.69,0.00,,,,
434,05/05/2025 00:00:00,6.56,0.00,,,,
435,05/05/2025 00:10:00,6.86,0.00,,,,
436,05/05/2025 00:20:00,7.03,0.00,,,,
437,05/05/2025 00:30:00,6.82,0.00,,,,
438,05/05/2025 00:40:00,6.86,0.00,,,,
439,05/05/2025 00:50:00,6.52,0.00,,,,
440,05/05/2025 01:00:00,6.52,0.00,,,,
441,05/05/2025 01:10:00,6.48,0.00,,,,
442,05/05/2025 01:20:00,6.26,0.00,,,,
443,05/05/2025 01:30:00,6.35,0.20,,,,
444,05/05/2025 01:40:00,6.35,0.00,,,,
445,05/05/2025 01:50:00,6.13,0.00,,,,
446,05/05/2025 02:00:00,6.35,0.00,,,,
447,05/05/2025 02:10:00,6.30,0.00,,,,
448,05/05/2025 02:20:00,6.48,0.00,,,,
449,05/05/2025 02:30:00,6.43,0.00,,,,
450,05/05/2025 02:40:00,6.17,0.00,,,,
451,05/05/2025 02:50:00,5.75,0.00,,,,
452,05/05/2025 03:00:00,5.10,0.00,,,,
453,05/05/2025 03:10:00,4.97,0.00,,,,
454,05/05/2025 03:20:00,4.97,0.00,,,,
455,05/05/2025 03:30:00,5.02,0.00,,,,
456,05/05/2025 03:40:00,5.15,0.00,,,,
457,05/05/2025 03:50:00,5.23,0.00,,,,
458,05/05/2025 04:00:00,5.10,0.00,,,,
459,05/05/2025 04:10:00,4.84,0.00,,,,
460,05/05/2025 04:20:00,4.54,0.00,,,,
461,05/05/2025 04:30:00,4.42,0.00,,,,
462,05/05/2025 04:40:00,3.94,0.00,,,,
463,05/05/2025 04:50:00,3.52,0.00,,,,
464,05/05/2025 05:00:00,3.17,1.04,,,,
465,05/05/2025 05:10:00,3.04,5.03,,,,
466,05/05/2025 05:20:00,2.70,23.56,,,,
467,05/05/2025 05:30:00,2.49,78.74,,,,
468,05/05/2025 05:40:00,2.61,203.84,,,,
469,05/05/2025 05:50:00,2.44,408.16,,,,
470,05/05/2025 06:00:00,2.19,672.64,,,,
471,05/05/2025 06:10:00,2.10,1047.36,,,,
472,05/05/2025 06:20:00,2.10,1501.44,,,,
473,05/05/2025 06:30:00,2.53,2096.00,,,,
474,05/05/2025 06:40:00,3.17,2353.28,,,,
475,05/05/2025 06:50:00,3.69,2465.92,,,,
476,05/05/2025 07:00:00,3.82,2890.24,,,,
477,05/05/2025 07:10:00,4.89,4051.20,,,,
478,05/05/2025 07:20:00,5.27,3377.92,,,,
479,05/05/2025 07:30:00,5.79,4450.56,,,,
480,05/05/2025 07:40:00,7.29,7759.36,,,,
481,05/05/2025 07:50:00,8.23,8337.92,,,,
482,05/05/2025 08:00:00,7.85,5916.16,,,,
483,05/05/2025 08:10:00,7.50,4108.80,,,,
484,05/05/2025 08:20:00,7.42,4824.32,,,,
485,05/05/2025 08:30:00,7.93,5816.32,,,,
486,05/05/2025 08:40:00,8.36,6983.68,,,,
487,05/05/2025 08:50:00,8.96,10380.80,,,,
488,05/05/2025 09:00:00,9.69,9533.44,,,,
489,05/05/2025 09:10:00,10.04,11064.32,,,,
490,05/05/2025 09:20:00,10.51,12170.24,,,,
491,05/05/2025 09:30:00,10.08,7362.56,,,,
492,05/05/2025 09:40:00,9.14,5964.80,,,,
493,05/05/2025 09:50:00,8.15,7887.36,,,,
494,05/05/2025 10:00:00,8.58,9008.64,,,,
495,05/05/2025 10:10:00,8.36,10447.36,,,,
496,05/05/2025 10:20:00,9.39,10767.36,,,,
497,05/05/2025 10:30:00,10.16,10439.68,,,,
498,05/05/2025 10:40:00,11.67,15564.80,,,,
499,05/05/2025 10:50:00,11.62,13265.92,,,,
500,05/05/2025 11:00:00,11.41,14264.32,,,,
501,05/05/2025 11:10:00,10.08,7416.32,,,,
