Name,plot.ID,site,arbeitsname,Art,Schicht,Deckung
MT60,60,Meu_trock,NM7,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT60,60,Meu_trock,NM7,Polytrichum formosum Hedw.,ML,"0,1"
MT60,60,Meu_trock,NM7,Frangula alnus,SL,"4,5"
MT61,61,Meu_trock,NM8,Betula,HL,"0,5"
MT61,61,Meu_trock,NM8,Molinia caerulea caerulea,HL,88
MT61,61,Meu_trock,NM8,Pinus sylvestris,HL,"0,1"
MT61,61,Meu_trock,NM8,Pteridium aquilinum,HL,"0,1"
MT61,61,Meu_trock,NM8,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT61,61,Meu_trock,NM8,Polytrichum formosum Hedw.,ML,"4,5"
MT62,62,Meu_trock,NM9,Betula,HL,"4,5"
MT62,62,Meu_trock,NM9,Frangula alnus,HL,"0,1"
MT62,62,Meu_trock,NM9,Molinia caerulea caerulea,HL,38
MT62,62,Meu_trock,NM9,Polytrichum formosum Hedw.,ML,"4,5"
MT63,63,Meu_trock,NM10,Betula,HL,"0,5"
MT63,63,Meu_trock,NM10,Frangula alnus,HL,"0,5"
MT63,63,Meu_trock,NM10,Molinia caerulea caerulea,HL,88
MT63,63,Meu_trock,NM10,Pinus sylvestris,HL,"0,1"
MT63,63,Meu_trock,NM10,Dicranum scoparium Hedw.,ML,"0,1"
MT63,63,Meu_trock,NM10,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT63,63,Meu_trock,NM10,Polytrichum formosum Hedw.,ML,"4,5"
MT63,63,Meu_trock,NM10,Frangula alnus,SL,"4,5"
MT64,64,Meu_trock,NM11,Betula,HL,"0,5"
MT64,64,Meu_trock,NM11,Molinia caerulea caerulea,HL,88
MT64,64,Meu_trock,NM11,Pinus sylvestris,HL,"0,5"
MT64,64,Meu_trock,NM11,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT64,64,Meu_trock,NM11,Lophocolea heterophylla (Schrad.) Dum.,ML,"0,5"
MT64,64,Meu_trock,NM11,Polytrichum formosum Hedw.,ML,"0,5"
MT64,64,Meu_trock,NM11,Frangula alnus,SL,"4,5"
MT65,65,Meu_trock,NM12,Betula,HL,18
MT65,65,Meu_trock,NM12,Pinus sylvestris,HL,"4,5"
MT65,65,Meu_trock,NM12,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT65,65,Meu_trock,NM12,Polytrichum formosum Hedw.,ML,"4,5"
MT65,65,Meu_trock,NM12,Frangula alnus,SL,63
MT66,66,Meu_trock,NM13,Betula,HL,"0,5"
MT66,66,Meu_trock,NM13,Dryopteris carthusiana (spinulosa),HL,"0,5"
MT66,66,Meu_trock,NM13,Frangula alnus,HL,"0,5"
MT66,66,Meu_trock,NM13,Molinia caerulea caerulea,HL,18
MT66,66,Meu_trock,NM13,Vaccinium myrtillus,HL,"0,5"
MT66,66,Meu_trock,NM13,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT66,66,Meu_trock,NM13,Polytrichum formosum Hedw.,ML,"4,5"
MT66,66,Meu_trock,NM13,Pinus sylvestris,SL,"4,5"
MT67,67,Meu_trock,NM14,Betula,HL,"0,5"
MT67,67,Meu_trock,NM14,Molinia caerulea caerulea,HL,"4,5"
MT67,67,Meu_trock,NM14,Vaccinium myrtillus,HL,"4,5"
MT67,67,Meu_trock,NM14,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
