"Name";"plot.ID";"site";"arbeitsname";"Transekt";"Transektnummer";"Art";"Schicht";"Deckung";"Wuchsform";"Sukzessionszeiger";"Moorart"
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Sphagnum_auriculatum";"ML";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Sphagnum_capillifolium";"ML";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Sphagnum_cuspidatum";"ML";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Sphagnum_fallax";"ML";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Sphagnum_fimbriatum";"ML";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Sphagnum_girgensohnii";"ML";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Sphagnum_russowii";"ML";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Sphagnum_squarrosum";"ML";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Tetraphis_pellucida";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Betula_pendula";"SL";0;"woody";TRUE;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Betula_pubescens";"SL";0;"woody";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Fagus_sylvatica";"SL";0;"woody";TRUE;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Frangula_alnus";"SL";0;"woody";TRUE;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Picea_abies";"SL";0;"woody";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Pinus_sylvestris";"SL";0;"woody";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Salix_aurita";"SL";0;"woody";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Pinus_sylvestris";"TL";38;"woody";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Betula_pubescens";"TL";0;"woody";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Betula";"HL";0;"woody";TRUE;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Callitriche_palustris";"HL";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Calluna_vulgaris";"HL";0;"woody";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Carex_canescens";"HL";0;"grass";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Carex_echinata";"HL";0;"grass";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Carex_nigra";"HL";0;"grass";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Carex_rostrata";"HL";0;"grass";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Digitalis_purpurea";"HL";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Dryopteris_carthusiana";"HL";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Eriophorum_angustifolium";"HL";0;"grass";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Frangula_alnus";"HL";0;"woody";TRUE;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Holcus_lanatus";"HL";0;"grass";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Juncus_effusus";"HL";0;"grass";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Lycopus_europaeus";"HL";0;"";TRUE;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Molinia_caerulea";"HL";18;"grass";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Pinus_sylvestris";"HL";0;"woody";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Pteridium_aquilinum";"HL";0,5;"";TRUE;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Quercus_robur";"HL";0;"woody";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Rubus_caesius";"HL";0;"";TRUE;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Salix_aurita";"HL";0;"woody";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Scrophularia_nodosa";"HL";0;"";TRUE;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Vaccinium_myrtillus";"HL";4,5;"woody";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Vaccinium_oxycoccos";"HL";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Typha_latifolia";"HL";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Campylopus_flexuosus";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Campylopus_pyriformis";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Dicranella_cerviculata";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Dicranodontium_denudatum";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Dicranum_flagellare";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Dicranum_scoparia";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Fuscocephaloziopsis_connivens";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Hypnum_cupressiforme";"ML";0,5;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Hypnum_jutlandicum";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Lepidozia_reptans";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Leucobryum_glaucum";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Lophocolea_heterophylla";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Mnium_hornum";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Pohlia_nutans";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Polytrichum_formosum";"ML";18;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Riccardia_latifrons";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Sphagnum_auriculatum";"ML";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Sphagnum_capillifolium";"ML";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Sphagnum_cuspidatum";"ML";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Sphagnum_fallax";"ML";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Sphagnum_fimbriatum";"ML";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Sphagnum_girgensohnii";"ML";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Sphagnum_russowii";"ML";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Sphagnum_squarrosum";"ML";0;"";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Tetraphis_pellucida";"ML";0;"";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Betula_pendula";"SL";38;"woody";TRUE;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Betula_pubescens";"SL";0;"woody";NA;TRUE
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Fagus_sylvatica";"SL";0;"woody";TRUE;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Frangula_alnus";"SL";0;"woody";TRUE;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Picea_abies";"SL";0;"woody";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Pinus_sylvestris";"SL";0;"woody";NA;NA
"MT3";3;"Meu_trock";"WM3";"WO";-23;"Salix_aurita";"SL";0;"woody";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Pinus_sylvestris";"TL";38;"woody";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Betula_pubescens";"TL";0;"woody";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Betula";"HL";0;"woody";TRUE;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Callitriche_palustris";"HL";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Calluna_vulgaris";"HL";0;"woody";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Carex_canescens";"HL";0;"grass";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Carex_echinata";"HL";0;"grass";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Carex_nigra";"HL";0;"grass";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Carex_rostrata";"HL";0;"grass";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Digitalis_purpurea";"HL";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Dryopteris_carthusiana";"HL";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Eriophorum_angustifolium";"HL";0;"grass";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Frangula_alnus";"HL";0,1;"woody";TRUE;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Holcus_lanatus";"HL";0;"grass";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Juncus_effusus";"HL";0;"grass";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Lycopus_europaeus";"HL";0;"";TRUE;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Molinia_caerulea";"HL";0;"grass";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Pinus_sylvestris";"HL";0,1;"woody";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Pteridium_aquilinum";"HL";18;"";TRUE;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Quercus_robur";"HL";0;"woody";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Rubus_caesius";"HL";0;"";TRUE;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Salix_aurita";"HL";0;"woody";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Scrophularia_nodosa";"HL";0;"";TRUE;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Vaccinium_myrtillus";"HL";4,5;"woody";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Vaccinium_oxycoccos";"HL";0;"";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Typha_latifolia";"HL";0;"";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Campylopus_flexuosus";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Campylopus_pyriformis";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Dicranella_cerviculata";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Dicranodontium_denudatum";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Dicranum_flagellare";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Dicranum_scoparia";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Fuscocephaloziopsis_connivens";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Hypnum_cupressiforme";"ML";0,1;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Hypnum_jutlandicum";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Lepidozia_reptans";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Leucobryum_glaucum";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Lophocolea_heterophylla";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Mnium_hornum";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Pohlia_nutans";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Polytrichum_formosum";"ML";18;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Riccardia_latifrons";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Sphagnum_auriculatum";"ML";0;"";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Sphagnum_capillifolium";"ML";0;"";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Sphagnum_cuspidatum";"ML";0;"";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Sphagnum_fallax";"ML";0;"";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Sphagnum_fimbriatum";"ML";0;"";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Sphagnum_girgensohnii";"ML";0;"";NA;TRUE
