id	taxonID	scientificName	kingdom
Bryum blindii B., S. & G.	Bryum blindii B., S. & G.	Bryum blindii B., S. & G.	Plantae
Bryum bornholmense Winkelmann & Ruthe	Bryum bornholmense Winkelmann & Ruthe	Bryum bornholmense Winkelmann & Ruthe	Plantae
Bryum caespiticium Hedw. var. caespiticium	Bryum caespiticium Hedw. var. caespiticium	Bryum caespiticium Hedw. var. caespiticium	Plantae
Bryum caespiticium var. badium Brid.	Bryum caespiticium var. badium Brid.	Bryum caespiticium var. badium Brid.	Plantae
Bryum calophyllum R. Br.	Bryum calophyllum R. Br.	Bryum calophyllum R. Br.	Plantae
Bryum canariense Brid. var. provinciale (Philib.) Husm.	Bryum canariense Brid. var. provinciale (Philib.) Husm.	Bryum canariense Brid. var. provinciale (Philib.) Husm.	Plantae
Bryum capillare Hedw.	Bryum capillare Hedw.	Bryum capillare Hedw.	Plantae
Bryum capillare var. platyloma (Schwaegr.) Schimp.	Bryum capillare var. platyloma (Schwaegr.) Schimp.	Bryum capillare var. platyloma (Schwaegr.) Schimp.	Plantae
Bryum comense Schimp.	Bryum comense Schimp.	Bryum comense Schimp.	Plantae
Bryum creberrimum Tayl. (cuspidatum)	Bryum creberrimum Tayl. (cuspidatum)	Bryum creberrimum Tayl. (cuspidatum)	Plantae
Bryum cryophilum Mart.	Bryum cryophilum Mart.	Bryum cryophilum Mart.	Plantae
Bryum cyclophyllum (Schwaegr.) B. & S. (tortifolium)	Bryum cyclophyllum (Schwaegr.) B. & S. (tortifolium)	Bryum cyclophyllum (Schwaegr.) B. & S. (tortifolium)	Plantae
Bryum demaretianum Arts	Bryum demaretianum Arts	Bryum demaretianum Arts	Plantae
Bryum donianum Grev.	Bryum donianum Grev.	Bryum donianum Grev.	Plantae
Bryum dunense A. J. E. Smith & Whiteh.	Bryum dunense A. J. E. Smith & Whiteh.	Bryum dunense A. J. E. Smith & Whiteh.	Plantae
Bryum elegans Nees ex Brid.	Bryum elegans Nees ex Brid.	Bryum elegans Nees ex Brid.	Plantae
Bryum funckii Schwaegr.	Bryum funckii Schwaegr.	Bryum funckii Schwaegr.	Plantae
Bryum gemmiferum Wilcz. & Demar.	Bryum gemmiferum Wilcz. & Demar.	Bryum gemmiferum Wilcz. & Demar.	Plantae
Bryum gemmilucens Wilcz. & Demar.	Bryum gemmilucens Wilcz. & Demar.	Bryum gemmilucens Wilcz. & Demar.	Plantae
Bryum gemmiparum De Not. (geheebii, gerwigii)	Bryum gemmiparum De Not. (geheebii, gerwigii)	Bryum gemmiparum De Not. (geheebii, gerwigii)	Plantae
Bryum inclinatum (Brid.) Bland. var. incl. (amblyodon)	Bryum inclinatum (Brid.) Bland. var. incl. (amblyodon)	Bryum inclinatum (Brid.) Bland. var. incl. (amblyodon)	Plantae
Bryum inclinatum var. litorum (Bomanss.) Podp.	Bryum inclinatum var. litorum (Bomanss.) Podp.	Bryum inclinatum var. litorum (Bomanss.) Podp.	Plantae
Bryum intermedium (Brid.) Bland.	Bryum intermedium (Brid.) Bland.	Bryum intermedium (Brid.) Bland.	Plantae
Bryum klinggraeffii Schimp. ex Klinggr.	Bryum klinggraeffii Schimp. ex Klinggr.	Bryum klinggraeffii Schimp. ex Klinggr.	Plantae
Bryum knowltonii Barnes var. knowltonii	Bryum knowltonii Barnes var. knowltonii	Bryum knowltonii Barnes var. knowltonii	Plantae
Bryum knowltonii var. ammophilum (Ruthe) Podp.	Bryum knowltonii var. ammophilum (Ruthe) Podp.	Bryum knowltonii var. ammophilum (Ruthe) Podp.	Plantae
Bryum knowltonii var. planioperculatum (Warnst.) Podp.	Bryum knowltonii var. planioperculatum (Warnst.) Podp.	Bryum knowltonii var. planioperculatum (Warnst.) Podp.	Plantae
